x1,y1,x2,y2,x3,y3,vx1,vy1,vx2,vy2,vx3,vy3
1.0,0.0,-0.2757971597761766,0.17683047351964684,-0.7242028402238234,-0.17683047351964684,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.29121843988076695,0.27823711224196307,-0.7087815601192331,-0.27823711224196307,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.26338431564840015,0.3561537644405928,-0.7366156843515999,-0.3561537644405928,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.30691513148447325,0.33715183782457325,-0.6930848685155268,-0.33715183782457325,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.2877823124204065,0.8025527764986143,-0.7122176875795935,-0.8025527764986143,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.46872494696454364,0.1506831731429101,-0.5312750530354564,-0.1506831731429101,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.01898820490852215,0.04885663010901891,-0.9810117950914778,-0.04885663010901891,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.026792823704751525,0.05586156339859026,-0.9732071762952484,-0.05586156339859026,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.4160565941202335,0.6336859732337337,-0.5839434058797666,-0.6336859732337337,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.28941985940816073,0.45337826560277805,-0.7105801405918393,-0.45337826560277805,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.43329315407011704,0.0699778993451278,-0.566706845929883,-0.0699778993451278,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.009174303924569527,0.010502252818014042,-0.9908256960754305,-0.010502252818014042,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.02554389486139408,0.011550606193976801,-0.9744561051386059,-0.011550606193976801,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.499583391653454,0.45924842311539005,-0.500416608346546,-0.45924842311539005,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.1502084829231194,0.20550868516841103,-0.8497915170768806,-0.20550868516841103,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.08551715830042134,0.06827059480979952,-0.9144828416995787,-0.06827059480979952,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.22733872488837242,0.2600435669298126,-0.7726612751116275,-0.2600435669298126,0.0,0.0,0.0,0.0,0.0,0.0
